id,type,name,brand,averageRating,manufacturerName,shortDescription,thumbnailUrl,price,currencyUnit
2G8BYIFGATBK,Tablet Computers,"Restored Apple iPad Pro (12.9"") 128GB Space Gray Wi-Fi ML0N2LL/A (Refurbished)",Apple,4.5,,"We aim to show you accurate product information. Manufacturers, suppliers and others provide what you see here, and we have not verified it. See our disclaimer",https://i5.walmartimages.com/seo/Restored-Apple-iPad-Pro-12-9-128GB-Space-Gray-Wi-Fi-ML0N2LL-A-Refurbished_93b5dfa4-5e70-43f1-84a8-2da815ef451f.5348e85f3cbf744b988c51d784e5e6e0.jpeg,333.99,USD
4EHIC1H5ZBMU,Tablet Computers,"Restored Apple iPad Pro, 10.5-inch, 64GB, Wi-Fi Only, Comes with Bundle: Case, Tempered Glass, Rapid Charger - Space Gray/Silver Comes in Original Retail Box (Refurbished)",Apple,4,,"<p>This Apple iPad Pro has a 10.5-inch display with 1668 x 2224 pixel resolution (~265 pixels per inch). Powered by Apple A10X Fusion chipset. Storage capacity of 64GB with 4GB of RAM for memory. The main camera is 12.0 megapixels. This device is also Wi-Fi Only. The bundle includes Case, Tempered Glass, and Generic Charger! This is a Refurbished Item. While this item has been tested to be in great working condition it will show signs of use and cosmetic blemishes which include some scratches/dings, all of which do not affect the usability of the item.</p>",https://i5.walmartimages.com/seo/Restored-Apple-iPad-Pro-10-5-inch-64GB-Wi-Fi-Only-Comes-Bundle-Case-Tempered-Glass-Rapid-Charger-Space-Gray-Silver-Original-Retail-Box-Refurbished_ab6c6b04-fb85-4ba7-b153-57040c69abe0.465119e4da41142f78743d2a6b6720f9.jpeg,249,USD
6GH2S6BHBIPY,Tablet Computers,Restored Apple iPad 7th Gen 32GB Silver Wi-Fi MW752LL/A (Latest Model) (Refurbished),Apple,4,,"*This item is REFURBISHED. The Apple 10.2"" iPad features an updated Retina display with a 2160 x 1620 resolution for crisp details and vivid colors, making it an ideal companion for watching movies, creating content, and much more. Powered by the A10 Fusion chip, it will enable users to edit 4K video, play graphics-intensive games, and experience AR apps. Moreover, its Smart Connector offers Smart Keyboard support for comfortable typing, while its display is compatible with the 1st gen Apple Pencil, so users can write and draw. With front and back cameras, the iPad can take photos, capture video, scan documents, make FaceTime calls, and provide AR capabilities. Connectivity-wise, it's equipped with Wi-Fi 5 (802.11ac), Bluetooth 4.2, a Lightning connector, and a 3.5mm audio jack. Its li-polymer battery is rated for up to 10 hours of use to keep you going throughout the day.",https://i5.walmartimages.com/seo/Restored-Apple-iPad-7th-Gen-32GB-Silver-Wi-Fi-MW752LL-A-Latest-Model-Refurbished_15dd89cf-37e2-43e9-9489-b60749cbafed.02bb3bb1980a6a5d529f9bf8f867d706.jpeg,164,USD
5Q75RVPIFVOK,Tablet Computers,"Open Box | Apple iPad Pro | 12.9-inch | 32GB | Latest OS | Wi-Fi Only | Bundle: Case, Pre-Installed Tempered Glass, Rapid Charger, Bluetooth/Wireless Airbuds By Certified 2 Day Express",Apple,3.4,,"This Apple iPad Pro has a 12.9-inch display with 2732 x 2048 pixel resolution (~264 pixels per inch). Powered by Apple A9X chipset, Dual-Core processor at a speed of 2.26GHz, and PowerVR Series 7 (12-Core graphics). Storage capacity of 32GB with 4GB of RAM for memory. The main camera is 8.0 megapixels. This device is also Wi-Fi Only. Bundle includes Case, Pre-Installed Tempered Glass, Rapid Charger, and Bluetooth/Wireless Airbuds By Certified 2 Day Express! This device has been tested to be in great working condition. It will show signs of use and cosmetic blemishes which may included some scratched/dings, all of which do not affect the usability of this device.",https://i5.walmartimages.com/seo/Open-Box-Apple-iPad-Pro-12-9-inch-32GB-Latest-OS-Wi-Fi-Only-Bundle-Case-Pre-Installed-Tempered-Glass-Rapid-Charger-Bluetooth-Wireless-Airbuds-By-Cert_4f2c46dd-7398-4ff6-9064-76ce49c1d3b8.435b61d18e1026253b08e57af7ec55c4.jpeg,349,USD
65X9058N6NPE,Smart Watches,Apple Watch SE (2023) GPS 40mm Starlight Aluminum Case with Starlight Sport Band - S/M,Apple,,,"A great deal to love. Affordable. Capable. Totally loveable. Heavy on features. Light on price. All-new features. Still light on price.Essential features to help you stay connected, active, healthy, and safe. Perfect for kids and older adults using Family Setup. Apple Watch SE 2023 2nd Generation. It's the ultimate device for a healthy life. Stay connected on the go, go, go. Crash detection, a safety feature we hope you'll never need.",https://i5.walmartimages.com/seo/Apple-Watch-SE-2023-GPS-40mm-Starlight-Aluminum-Case-with-Starlight-Sport-Band-S-M_78f57656-715a-4a7d-9703-4a2ef7b24cbb.330df6c056d55ebfc8b79de4b325ff2e.jpeg,189,USD
1Z127VPRFX0B,Tablet Computers,"Restored Apple iPad 5 (2017) Bundle, 32GB, Space Gray, Wi-Fi Only, Beats or JBL, Case, Tempered Glass, Stylus Pen, Charging Accessories.",Apple,3.9,,"Restored Apple iPad 5 Tablet, 32GB of Storage, 9-7-inch screen, Space Gray, Wi-Fi only (5th Gen, 2017, MP2F2LL/A) with Beats Flex Bundle.  Includes Beats Flex Headphones, Case, Screen Protector, Stylus Pen, Charging Accessories. Latest IOS.",https://i5.walmartimages.com/seo/Restored-Apple-iPad-5-2017-Bundle-32GB-Space-Gray-Wi-Fi-Only-Beats-or-JBL-Case-Tempered-Glass-Stylus-Pen-Charging-Accessories_466e84da-7b20-4a83-8bc1-c17af3a3a32c.5e72204ef823469cc23cfa0f4eaed212.jpeg,159,USD
52JW754IHEW3,Tablet Computers,"Restored | Apple iPad 6 | 32GB | Space Gray | Wi-Fi Only | Bundle: Pre-Installed Tempered Glass, Case, Charger, Bluetooth/Wireless Airbuds By Certified 2 Day Express",Apple,3.5,,"Apple iPad 6 is a 9.7-inch Apple tablet with a retina display which comes in 3 different colors: Silver, Gold, Space Gray. This iPad features a 32 GB storage capacity or 128 GB. This iPad is great for surfing the web and more with its great battery life while using Wi-Fi. This is a certified refurbished product which has been tested to be in great working condition. Product may show signs of use and cosmetic blemishes which include minor scratches, all of which do not affect the usability of the item.",https://i5.walmartimages.com/seo/Restored-Apple-iPad-6-32GB-Space-Gray-Wi-Fi-Only-Bundle-Pre-Installed-Tempered-Glass-Case-Charger-Bluetooth-Wireless-Airbuds-By-Certified-2-Day-Expre_027e9ffa-c1ce-44fe-97af-0ed45310a378.3346b7096a5ec983adfa48a61fd01891.jpeg,179,USD
2P2LC17SH8FG,Tablet Computers,"Restored Apple 7.9-inch iPad Mini 2 Retina, Wi-Fi Only, 32GB, Bundle Comes With: Bluetooth Headset, Tempered Glass, Case, Stylus Pen, Rapid Charger - Space Gray (Refurbished)",Apple,3.9,,"This device has been certified by our industry leading software and is 100% fully functional. This device will show light signs of use such as scratches, scuffs & nicks on the housing and screen. Wall block and USB cable included. Sim card and earbuds are NOT included.",https://i5.walmartimages.com/seo/Restored-Apple-7-9-inch-iPad-Mini-2-Retina-Wi-Fi-Only-32GB-Bundle-Comes-With-Bluetooth-Headset-Tempered-Glass-Case-Stylus-Pen-Rapid-Charger-Space-Gra_0d015cee-cac7-4de9-b668-1c98e3acd19f.cb368219df04974bbe7fbd5265c09f62.jpeg,199,USD
46SDJLNRL5EV,Tablet Computers,Restored Apple iPad Pro 12.9inch (3rd Generation) 256GB WiFi Only Space Gray (Refurbished),Apple,,,"The 12.9"" iPad Pro from Apple, updated from the same one you know and love, ditches the Home button for a display that's more screen and less bezel. Built with the same Liquid Retina technology found on iPhones, the iPad Pro's 12.9"" display features a 2732 x 2048 resolution, ProMotion technology, wide color and True Tone support, as well as a 600 cd/m2 brightness rating. Performance-wise, Apple has replaced the A10X processor with the A12X Bionic chip. This multi-core processor handles all the computational and graphical processing needed for complicated tasks. In addition, it's paired with a Neural Engine chip for advanced machine learning. With the removal of the Home button which also functioned as the fingerprint sensor, the iPad Pro has opted for Face ID via its front-facing 7MP TrueDepth camera.",https://i5.walmartimages.com/seo/Restored-Apple-iPad-Pro-12-9inch-3rd-Generation-256GB-WiFi-Only-Space-Gray-Refurbished_313b1bb2-1c65-458b-b8a7-f7e48e03d15d.8c93fe82d32e8548539906c793e649b8.jpeg,549.95,USD
1EP3W7Q75EDW,Tablet Computers,"Restored Apple iPad Pro 64GB Wi-Fi, 10.5 - Rose Gold (Refurbished)",Apple,4,,This iPad has been certified by our industry-leading mobile diagnostic software to be 100% fully functional. It is in very good condition showing only minor signs of use. Premium aftermarket wall charger and USB cable are included. Original packaging is not included.,https://i5.walmartimages.com/seo/Restored-Apple-iPad-Pro-64GB-Wi-Fi-10-5-Rose-Gold-Refurbished_a4c24f47-769b-4c4b-8756-2d2f05aa3ce0.efc5e6f714ea29a9da5e87972c56d963.png,249,USD
